_New;New
ErrorDisplayingRequestResultParameterBetweenQuotes;Error displaying the request result '{0}'.
ErrorGettingParameter;Error getting {0}
IntentionallyCausedError;Intentionally caused error
ThisActionDoesNotContainAnyPropertyThatCouldBeModified;This action does not contain any property that could be modified.
ThisJoinIsMarkedToNotCheck;This join is marked to not check.
ThisJoinHasReferentialIntegrityInDatabase;This join has referential integrity in the database.
SetParameter;Set {0}
StatisticsOfTheResult;Statistics of the result
TheseColumnsTogether;These columns, together,
ThisFilterAppliesAllSheets;This filter applies to all sheets
ThisFilterAppliesOnlyThisSheetColonParameter;This filter applies only in this sheet: {0}
ThisFilterDoesNotApplyAnySheet;This filter does not apply to any sheet
ExcludeParameterInThisQuery;Exclude {0} in this query
ThereIsASyntaxError;A syntax error exists.
ServerExplorer;Server explorer
FilterBusinessItems;Filter business items
FilterOnTheFollowingPanels;Filter on the following panels
FilterOnAllSheets;Filter on all sheets
FilterOnAllPanels;Filter on all panels
FilterOnlyOnThisSheet;Filter only on this sheet
FilterOnlyInThisPanel;Filter only in this panel
FormatParenthesesParameterColumns;Format ({0} columns)
NotImplementedFormat;Not implemented format
FormulaValidatedCorrectly;Formula validated correctly
GenericColonParameter;Generic: {0}
TheConnectionToTheServerHasFailed;The connection to the server has failed
ThereWasAnErrorWhileCommitting;There was an error while committing.
ThereWasAProblemWhileRegisteringCheckInternetOrContactCrono;There was a problem when registering the product. Check your internet connection or contact info@crono.net.
AnErrorOccurredDuringExecution;An error occurred during execution.
AnErrorOccurredDuringPublication;An error occurred during publication.
AnErrorOccurredDuringDataValidation;An error occurred during data validation.
AnErrorOccurredInTheApplicationAndWillNowClose;An error occurred in the application and it will now close.
AnUnexpectedErrorOccurredWhileExportingInformation;An unexpected error occurred while exporting the information...
AnUnexpectedErrorOccurredDuringThisCommandExecution;An unexpected error occurred during the execution of this command.
ThereHaveBeenNewCommitsSinceTheLastCheck;There have been new commits since the last check.
ThereAreFilesInStage;There are files in stage
ThereIsAnErrorWithTheQuery;There is an error with the query
ThereIsAnIncompleteMerge;There is an incomplete merge.
DeviceIdentifierColonParameter;Device Identifier: {0}
IndicatesWhetherVariableModificationsAreMadeDirectlyOnTheListOrInACopy;Indicates whether the modifications made to the variables are made directly on the list passed by parameter in the variable property or will be made in a copy
SessionInformation;Session information
EnterTheLicenseNumber;Enter the license number.
EnterAContactEmail;Enter a contact email
TheFolderParameterBetweenQuotesNotContainGitRepository;The folder '{0}' does not contain a git repository.
TheConnectionIsNotDefined;The connection is not defined
TheDefinitionContainsSyntaxError;The definition contains some syntax error
TheExpressionIsNotCorrect;The expression is not correct.
TheExpressionIsNotAFilter;The expression is not a filter
TheExpressionMustBeAQuery;The instruction must be a query
ThePropertyParameterIsReadOnly;The property '{0}' is read only.
ThePropertyParameterIsReadOnlyAndCannotBeSetByBinding;The property '{0}' is read only and cannot be set by binding.
ThePropertyParameterIsReadOnlyAndItsValueCannotBeSetExternally;The property '{0}' is read only and its value cannot be set externally.
ThePropertyParameterBetweenQuotesNotExistsInModelParameterBetweenParentheses;The property '{0}' does not exists in the model ({1})
TheListPropertyIsNotEnumerableType;The list property is not enumerable type
ListPropertyHasNotBeenFound;List property has not been not found
TheSQLStatementIsCorrect;The SQL statement is correct.
LocateInCatalog;Locate in catalog
ChangesMadeToFileParameterBetweenQuotesWillBeLostAskContinueAnyway;Changes made to the file '{0}' will be lost. Continue anyway?
FiltersWillAlwaysApplyToThePanelsWhereTheyAreIn;Filters will always be applied to the panels where they are in.
ReportsFromCubesAreNotYetAvailable;Reports from cubes are not yet available
TheParameterParameterHasNotBeenDefined;The parameter {0} has not been defined.
RamMemoryColonParameterMb;RAM memory: {0:N2} MB
ShowColumnSelector;Show column selector
YouNeedLinceseNumberToUseCronoSolutionCanGetOneFromDemoCrono;You need a license number to use the Crono solution. You can get one for free from http://demo.crono.net
NoObjectInCatalogUsesTheParameterParameterBetweenQuotes;No object in the catalog uses the parameter '{0}'
ThePropertyParameterBetweenQuotesNotExistsInParameterBetweenQuotesParenthesesViewModelColonParameterBetweenQuotes;The property '{0}' does not exists in '{1}' (viewmodel: '{2}')
DoNotFilterOnThisSheet;Do not filter on this sheet
CouldNotValidateLicenseNumberMayBeProblemsWithInternetConnectionOrServerMeyNotBeOperationalAtThisTimeTryItAgainLater;Could not validate the license number. There may be problems with your Internet connection or the server may not be operational at this time. Try it again later.
ItWasNotPossibleToUseThisCatalog;It was not possible to use this catalog
ItWasNotPossibleToValidateProductKey;It was not possible to validate the product key.
ThereAreNoPendingChanges;There are no pending changes
ThereIsNoEstablishedConnectionAtThisTime;There is no established connection at this time.
ThePublicationAddresHasNotBeenConfigured;The publication address has not been configured.
AnOriginHasNotBeenConfiguredInTheRepository;An 'origin' has not been configured in the repository.
TheColorThemeLibraryWasNotFoundColon;The color theme library was not found:
NoCatalogFoundOnTheSpecifiedRoute;No catalog found on the specified route
CouldNotOpenJobColonParameter;Could not open the job: {0}
CouldNotUpdateServerInformation;Could not update the server information
CouldNotAssignValue;Could not assign the value.
CouldNotChangeRegistryValue;Could not change the registry value
CouldNotCloneRepository;Could not clone the repository.
CouldNotGenerateFileParameterBetweenQuotes;Could not generate file '{0}'.
NoServersHaveBeenRegistered;No servers have been registered
NoSourceHasBeenSelected;No source has been selected.
CouldNotGenerateSDLViewOfParameterBetweenQuotes;Could not generate SDL view of '{0}'
NoFilesHaveBeenSelected;No files have been selected.
ThisPanelCannotBeExportedInCardsMode;This panel cannot be exported in the 'Cards' presentation mode
CannotSaveIntoFolderParameterBetweenQuotes;Cannot save into the folder '{0}'
CannotLocateMapFileParameterBetweenQuotes;Cannot locate the map file '{0}'
YouHaveNoRegisteredServerThatSupportsPublishingAskWantToAddOneNow;You have no registered server that supports publishing, do you want to add one now?
LicenseNumberColonParameter;License number: {0}
ObjectForTheListOfValues;Object for the list of values
ObjectsUsingParameter;Objects using {0}
GetsOrSetsACollectionUsedToGenerateTheDatagridContent;Gets or sets a collection that is used to generate the datagrid content
GetsACollectionOfDatagridColumns;Gets a collection of datagrid columns
HideParenthesesParameterColumns;Hide ({0} columns)
AnErrorOcurredDuringSynchronization;An error occurred during synchronization.
PassAllToQuery;Pass all to query
PercentageWithRespectToAGroup;Percentage with respect to a group
ProblemGettingPropertyParameterBetweenQuotesOfAParameterBetweenQuotes;Problem getting property '{0}' of a '{1}'
UnregisteredProduct;Unregistered Product
PropertyParameterBetweenQuotesLinkedToIncorrectType;Property '{0}' linked to incorrect type
PropertyParameterBetweenQuotesNotFoundInObjectOfTypeParameterBetweenQuotes;Property '{0}' not found in object of type '{1}'.
FolderProperties;Folder properties
ColumnProperties;Column properties
FilterProperties;Filter properties
CubeElementProperties;Cube element Properties
RepositoryProperties;Repository properties
ReferenceToNonExistentPropertyColon;Reference to non-existent property:
HighlightCompatibleObjects;Highlight compatible objects
TheExpressionMustBeSpecified;The expression must be specified.
ACommitMessageMustBeSpecified;A commit message must be specified.
TheJobMustBeNamed;The job must be named.
AtLeastParameterParameterMustBeSelected;At least {0} {1} must be selected
TheDestinationDirectoryMustBeSelected;The destination directory must be selected.
ACalendarMustBeSelected;A calendar must be selected.
ADirectoryMustBeSelected;A directory must be selected.
AFileToExecuteMustBeSelected;A file to execute must be selected
ASingleQueryMustBeUsed;A single query must be used
AnoObjectOfTypeTypeWasExpectedButIsTypeParameterBetweenQuotes;An object of type 'Type' was expected but is of type '{0}'
TheTableIsMaterializing;The table is materializing
TheRepositoryHasBeenAccessedCorrectly;The repository has been accessed correctly.
RegistrationCompletedSuccessfully;Registration completed successfully.
TheDatabaseWasCreatedAndConnectionHasBeenEstablishedCorrectly;The database has was created and the connection has been established correctly.
TheDatabaseHasBeenDeletedSuccessfully;The database has been deleted successfully.
TheConnectionToCronoServerHasBeenEstablishedSuccessfully;The connection to the Crono server has been established successfully.
ItHasBeenPublishedCorrectly;It has been published correctly.
UpdatesHaveBeenLookedFor;Updates have been looked for
ParameterDifferentCombinationsHaveBeenFound;{0:N0} different combinations have been found.
TheLookForUpdatesStarts;The look for updates starts
TheDatabaseParameterIsGoingToBeDeletedWithAllItsContentAskAreSureWantContinue;The database {0} and all its contents will be completely deleted. Are you sure you want to continue?
SelectParameterInThisQuery;Select {0} in this query
SelectGreaterThanOrEqualTo;Select greater than or equal to
SelectLessThanOrEqualTo;Select less than or equal to
SelectLocation;Select location
SelectTheImageFile;Select the image file
SelectTheCatalogLanguage;Select the catalog language
SelectTheActionTypeYouWantCreate;Select the action type you want to create.
SelectTheJob;Select the job
SelectBusinessElementsTahtWillBeAllowedToChoosesWhenAskingTheParameter;Select the business elements that will be allowed to choose when asking for the parameter.
SelectTheValuesToFilterBy;Select the values ​​to filter by.
SelectACatalogWithWhichToBuildYourReport;Select a catalog with which to build your report
SelectADirectory;Select a directory
SelectAnItemFromCatalog;Select an item from the catalog.
SelectADimension;Select a dimension.
ServerForLocalCubes;Server for local cubes
IfPasswordIsSpecifiedAUserMustAlsoBeSpecified;If a password is specified, a user must also be specified.
SynchronizationCompleted;Synchronization completed.
OperatingSystemColonParameter;Operating system: {0}
OnlyPaginaViewItemAndPaginaViewGroupItemAreAllowed;Only 'PaginaViewItem' and 'PaginaViewGroupItem' are allowed
SplashScreenClosedParenthesesAfterParameterMs;SplashScreen closed (after {0} ms)
InstallationTypeColonParameter;Installation Type: {0}
ValidatingProductKeyElipsis;Validating product key...
ValidateLicenseNumber;Validate license number
NotAllowedValueInParameter;Not allowed value in {0}
ShowVerificationErrors;Show verification errors
ShowVerificationStatement;Show verification statement
InstallationVerification;Installation verification
AParameterWithThisKeyAlreadyExists;A parameter with this key already exists
WouldYouLikeToDefineThemNow;Do you want to define them now?
WouldYouLikeToDefineItNow;Do you want to define it now?
TheBusinessItemLowerCase;the business item
Execute;Execute
ParenthesesParameterMs;({0}ms)
AskWantToCheckThisJoinLastVerificationDataColonParameterLastVerificationTimeColonParameterSeconds;Do you want to check this join?|Last verification date: {0}|Last verification time: {1} seconds
TheParentTypeIsParameterWithCronoSqlColonParameter;The parent type is {0} with CronoSql:|{1}
FailedToFindPropertyParameterBetweenQuotesInObjectTypeParameterBetweenQuotesParameter;Failed to find property '{0}' in object type '{1}'|{2}
FailedToSetPropertyParameterBetweenQuotesParameter;Failed to set property '{0}'|{1}
TheFilePublicationDateOnServerNotMatchCurrentOneAskPostAnywayLastPublicationInformationColonParameter;The file publication date on the server does not match the current one.|Post anyway?||Last publication information:|{0}
TheConnectionParameterBetweenQuotesToAccessTheDatabaseDoesNotExistsAskWantCreateItNow;The connection ""{0}"" to access the database does not exists.|Do you want to create it now?
Format;Format
Exclude;Exclude
_Select;Select
Accept;Accept
Enable;Enable
ManageFilters;Manage filters
Disable;Disable
Documentation;Documentation
EditQuery;Edit query
FilterOn;Filter on
General;General
NewAction;New action
NewFilter;New filter
Hide;Hide
OrganizationColonParameter;Organization: {0}
PassToQuery;Pass to query
PassToFormula;Pass to formula
Registration;Registration
Log;Log
PercentageSalesMarginAVsCostB;% Sales margin A vs cost B
PercentageVariationOfAVsB;% Variation of A vs B
AMinusBDividedBPercentageBetweenParentheses;(a-b)/b (Percentage)
ParameterAccumulated;{0} accumulated
ADivideBPercentageBetweenParentheses;a/b (Percentage)
ADivideBRatioBetweenParentheses;a/b (Ratio)
AboutCrono;About Crono
Acknowledgment;Acknowledgment
AddColumn;Add column
Authorization;Authorization
Basics;Basics
Calendar;Calendar
GoogleCalendar;Google calendar
FolderOnServer;Folder on server
LocalFolder;Local folder
Scientific;Scientific
ProductKey;Product key
ForeignKey;Foreign key
Cloning;Cloning
Clone;Clone
CloneRepository;Clone repository
Commit;Commit
CheckingStatus;Checking status
CheckingHead;Checking HEAD
CheckingSource;Checking source
CheckingStage;Checking stage
NetworkConfiguration;Network configuration
ConfigureConnection;Configure connection
ConfigureOrderBy;Configure ORDER BY
ConfigureTop;Configure TOP
ContactColonParameter;Contact: {0}
CopyName;Copy name
Correct;Correct
SplashCreated;Splash created
Credentials;Credentials
Available;Available
Duration;Duration
Edit;Edit
EditExpression;Edit expression
SqlQueryEditor;SQL query editor
CronoSqlEditor;Crono SQL editor
QueryEditor;Query editor
PermissionsEvaluatedSequentiallyInCaseContradictoryAssignmentsLastPrevailsIfNoPermissionApplicableDefaultApplicationPermissionsAreMaintained;Permissions are evaluated sequentially. In case of contradictory assignments, the last of the list prevails.||If no specific permission is applicable, the default application permissions are maintained.
DeleteColumn;Delete column
BindingErrorsColon;Binding errors:
Statistics;Statistics
Eula;EULA
Explorer;Explorer
Export;Export
DateAndTime;Date and time
ColumnFilter;Column filter
AdvancedFilters;Advanced filters
Print;Print
Start;Start
EnterYourCity;Enter your city
EnterYourName;Enter your name
TheRequestToParameterBetweenParenthesesWasResolvedWithTheCodeColonParameterParameter;The request to '{0}' was resolved with the code:||{1} {2}
ExpiredLicense;Expired license
LicenceDeleted;License deleted.
ClearFilters;Clear filters
ClearValue;Clear value
TheFollowingFilesAreLockedCloseProgramsMayBeUsingThemAndTrySynchronizeAgain;The following files are locked, close the programs that may be using these files and try to synchronize again.||{0}
ErrorMessage;Error message
Currency;Currency
ShowingMainWindow;Showing MainWindow
ShowWarnings;Show warnings
ShowSummations;Show summations
NotAvailable;Not available
CouldNotConnectToTheCloudParameter;Could not connect to the cloud.||{0}
CouldNotGetRepositoryInformationCheckRepositoryAddressIsWellWrittenAndCredentialsAreCorrect;Could not get repository information.||Check that the repository address is well written and that the credentials are correct.
NewCube;New cube
Number;Number
Objects;Objects
GeneralOptions;General options
Sort;Sort
Custom;Custom
Percentage;Percentage
PercentageParameter;Percentage {0}
PercentageOfTheTotal;Percentage of the total
ProductActivated;Product activated
CubeProperties;Cube properties
RankingPercentage;Ranking %
UserSelection;User selection
FormatSelection;Format selecction
SelectCatalog;Select catalog
SelectValues;Select values
SelectTheType;Select the type
SelectYourCountry;Select your country
SelectAnObject;Select an object
Server;Server
DoUpperCase;DO
DoNotUpperCase;DO NOT
Synchronize;Synchronize
SynchronizeProject;Synchronize project
SyntaxCorrect;Syntax correct.
TechnicalSupport;Technical support
SqlServerColonParameterParameterBetweenParentheses;SQL Server: {0} ({1})
Startup;Startup
CumulativeSum;Cumulative sum
CumulativeSumPercentageBetweenParentheses;Cumulative sum (%)
ReplaceWith;Replace with
TestText;Test text
TextWithoutFormat;Text without format
NullValueLowerCase;null value
TableValues;Table values
ShowGroups;Show groups
CheckJoin;Check join
CheckUniqueness;Check uniqueness
VersionColonParameter;Version: {0}
ParenthesesRestOfLatinAmerica;(Rest of Latin America)
ExclamationThanksForUsingCrono;Thanks for using Crono!
TaskManager;Task manager
ManageRepositories;Manage repositories
ManageServers;Manage servers
AddExistingGitFolder;Add existing git folder
DragToTheRightPanelTheColumnsByWhichWantSortTheQuery;Drag to the right panel the columns by which you want to sort the query.
DragHereToCreateAFilter;Drag here to create a filter.
WindowsAuthentication;Windows authentication
WindowsAuthenticationColon;Windows authentication:
LookForUpdates;Look for updates
CustomNumericFormatStrings;custom numeric format strings
ChangeLicenseNumber;Change license number
ChangesInTheLocalFolder;Changes in the local folder
BackupsFolder;Backups folder
CronoConfigurationFolder;Crono configuration folder
CloseWindowWhenExecutionFinished;Close this window when the execution is finished
GroupColumnsColon;Group columns:
OderColumnsColon;Order columns:
AvailableColumnsColon;Available columns:
CheckAccessForColon;Check access for:
ConfigureProxyServer;Configure proxy server
KeepCloudChanges;Keep cloud changes
KeepLocalChanges;Keep local changes
KeepAllCloudChanges;Keep all cloud changes
KeepAllLocalChanges;Keep all local changes
ContainsUniqueValues;Contains unique values
CronoUsesOpenSourceSoftwareAndThirdPartyApplications;Crono uses open source software and other third-party applications.
DownloadUpdatesAutomatically;Download updates automatically
DownloadDirectoryColon;Download Directory:
DownloadDirectory;Download Directory
WorkDirectoryColon;Work Directory:
RunGarbageCollector;Run garbage collector
ParameterizableBusinessItem;Parameterizable business item
DeleteDatabaseParenthesesDropDatabase;Delete database (DROP DATABASE)
ConfigurationFolderContainsComputerConnectionsAndOtherInformation;Configuration folder contains computer connections and other information.
EnterYourLicenseNumber;Enter your license number
ThisInformationIsShared;This information is shared
ThisStatisticsWindowCanHelpYouDetectCandidateFieldsToFormPrimaryKeyOrUniqueRestriction;This statistics window can help you detect candidate fields to form primary key or UNIQUE restriction.
WeStudyAndAppreciateAllRequestsWeRecive;We study and appreciate all the requests we receive.
FormulaFromExistingColumnsInQuery;Formula from existing columns in the query
SaveConfigurationInTheProfileOfEachUser;Save configuration in the profile of each user
SaveConfigurationInAFolderOnComputer;Save configuration in a folder on the computer
LicenseInformation;License information
SystemInformation;System information
StartCronoExcelWhenOpeningMicrosoftExcel;Start Crono Excel when opening Microsoft Excel
EnterTheVariableParametersOfThisDocument;Enter the variable parameters of this document.
TheCronoExcelRegistryKeyExists;The Crono Excel registry key exists
TheInformationIsSavedIn;The information is saved in
LimitNumberOfRows;Limit number of rows
MoreInformationAboutTheChanges;More information about the changes
ShowAdvancedGITFunctionalities;Show advanced GIT functionalities
ShowTextInSeparateWindowWhenDoubleClicking;Show text in separate window when double clicking
ShowAllRows;Show all rows
TheCronoExcelKeyDoesNotExistsInWindowsRegistry;The Crono Excel key does not exists in the Windows registry
NoRulesFoundForThisUser;No rules found for this user
NewCalculatedColumn;New calculated column
NewComputerConnection;New computer connection
NuevoCombinedAndOrFilter;New combined AND/OR filter
AnotherSqlServer;Another SQL Server
ToInstallTheEvaluationVersionYouNeedALicenseNumberWithThisFormatColonXXX;To install the evaluation version you need a license number with this format: XXXX-XXXX-XXXX.
ForMoreInformationSeetheHelpAboutThe;For more information see the help about the
ForHelpingUsImproveCrono;for helping us improve Crono.
BetweenAllCronoApplicationsOfThisUser;between all Crono applications of this user.
BetweenAllCronoApplicationsAndUsersOfThisMachine;between all Crono applications and all users of this machine
PercentageOfTheTotalCountOfRecords;Percentage of the total count of records
TaskScheduler;Task scheduler
YouCanContactUsFromTheSupportWebsiteOrByEmail;You can contact us from the support website or by email.
CountOfDifferentValues;Count of different values
PathOrUrlOfTheCatalogColon;Path or URL of the catalog:
TheSampleDatabaseIsBeingDownloaded;The sample database is being downloaded
DefaultServer;Default server
RegisteredServers;Registered Servers
RegisteredServersColon;Registered Servers:
IfNotHaveValidLicenseNumberCanRequestForFreeAtFollowingAddressColon;If you do not have a valid license number, you can request it for free at the following address:
UploadTheChangesToTheCloudAutomaticallyAfterSynchronize;Upload the changes to the cloud automatically after synchronize
ColumnFilterType;Column filter type
RemoteBackupsLocation;Remote location backups
UseThisScreenToLimitNumberOfRecordsReturnedOrSetRankingBasedOnOneOfTheColumns;Use this screen to limit the number of records returned or to set a ranking based on one of the columns.
SelectedValues;Selected Values
SeeObjectThatUseThisParameter;See objects that use this parameter
VerifyConnectionToLocalDB;Verify connection to LocalDB
VerifyCredentials;Verify credentials
VerifyInstallation;Verify installation
VisitCronoWebsite;Visit Crono website
IAlreadyHaveALicenseNumber;I already have a license number
IAlreadyHaveALicense;I already have a license
HomeUpperCase;HOME
Definition;Definition
Verify;Verify
Diagram;Diagram
QueyUpperCase;QUERY
DescriptionColon;Description:
NameColon;Name:
UserColon;User:
PasswordColon;Password:
FontColon;Font:
UrlColon;Url:
ActionsColon;Actions:
DatabaseColon;Database:
Cancel;Cancel
ConnectionColon;Connection:
DiscardChanges;Discard changes
Disabled;Disabled
ExecutingElipsis;Executing...
Environment;Environment
ListOfValues;List of values
ListOfValuesColon;List of values:
EditConnection;Edit connection
FullNameColon;Full name:
ServerColon;Server:
DataTypeColon;Data type:
ParenthesesWithoutProxy;(without proxy)
Activated;Enabled
UpdateList;Update list
AdvancedPluralFemale;Advanced
BackgroundColorColon;Background color:
QueriesColon;Queries:
PasswordLocalizedColon;Password:
EmailColon;Email:
Design;Design
CompanyColon;Company:
ExpressionColon;Expression:
FormulaColon;Formula:
Save;Save
ReadAndWrite;Read and write
Message;Message
EditServer;Edit server
SourceColon;Source:
Path;Path
SelectSeveral;Select several
TextColon;Text:
Type;Type
FormatType;Format type
ValueColon;Value:
CheckConnection;Check connection
ParenthesesRestOfEurope;(Rest of Europe)
ParenthesesRestOfTheWorld;(Rest of the world)
AnonymousAccess;Anonymous access.
About;About
AttachedColon;Attached:
Germany;Germany
AmazonS3;Amazon S3
Andorra;Andorra
Argentina;Argentina
Australia;Australia
Austria;Austria
SqlAuthentication;SQL authentication
Belgium;Belgium
Bolivia;Bolivia
Brazil;Brazil
Bulgaria;Bulgaria
Search;Search
ConnectionStringColon;Connection String:
Calculator;Calculator
CalendarColon;Calendar:
ChangesInTheCloud;Changes in the cloud
Canada;Canada
Loading;Loading
CubeFolderColon;Cube folder:
FolderColon;Folder:
GitFolders;GIT folders
LocalCatalog;Local catalog
CatalogColon;Catalog:
Catalogs;Catalogs
RecentCatalogsColon;Recent catalogs:
Chile;Chile
China;China
Cyprus;Cyprus
CityColon;City:
AccessKey;Access key
Colombia;Colombia
Column;Column
Check;Check
Granted;Granted
ComputerConnection;Computer connection
ComputerConnections;Computer connections
ConnectionsColon;Connections:
ContainsNulls;Contain nulls
CopyText;Copy text
CostaRica;Costa Rica
CreateDatabase;Create database
AmazonCredentials;Amazon credentials
EmailCredentials;Email credentials
GitCredentials;GIT credentials
NetworkCredentials;Network credentials
Cuba;Cuba
Cube;Cube
Cubes;Cubes
LocalCubesColon;Local cubes:
Denied;Denied
Deny;Deny
DownloadColon;Download:
_Stop;Stop
Denmark;Denmark
UrlAddressColon;Url address:
AddressColon;Address:
DomainColon;Domain:
Ecuador;Ecuador
EditManually;Edit manually
ExecutingActions;Executing actions
ElSalvador;The Savior
BusinessItemColon;Business item:
RemoveFromTheList;Remove from the list
DeleteFilter;Remove filter
Awaiting;Awaiting
_Error;Error
Spain;Spain
UnitedStates;United States
Style;Style
TokenDateColon;Token date:
Fetch;Fetch
Philippines;Philippines
FilterCatalogColon;Filter catalog:
AdvancedFilter;Advanced filter
CombinedFilterColon;Combined filter:
AdvancedFormula;Advanced formula
France;France
Generic;Generic
Gibraltar;Gibraltar
Greece;Greece
GroupsColon;Groups:
SaveAs;Save as
SaveInTheCloud;Save in the cloud
SaveLocally;Save locally
Guatemala;Guatemala
Guinea;Guinea
EquatorialGuinea;Equatorial Guinea
Haiti;Haiti
Inherited;Inherited
Honduras;Honduras
Identification;Identification
AvailableLanguagesColon;Available languages:
India;India
Ireland;Ireland
Israel;Israel
Italy;Italy
Japan;Japan
Read;Read
LimitResult;Limit result
LimitColon;Limit:
Clear;Clear
ClearColumns;Clear columns
Morocco;Morocco
MessageColon;Message:
Messages;Messages
Mexico;Mexico
ThankYouSoMuch;Thank you so much
SampleColon;Sample:
Nicaragua;Nicaragua
ConnectionName;Connection name
KeyNameColon;Key name:
BucketNameColon;Bucket name:
Norway;Norway
NewConnection;New connection
NewParameter;New parameter
LicenseNumberColon;License number:
AdvancedOptions;Advanced options
AdvancedOperators;Advanced operators
SortResult;Sort result
OrganizationColon;Organization:
CountryColon;Country:
Netherlands;Netherlands
Panama;Panama
Paraguay;Paraguay
CalculatedParameter;Calculated parameter
UserParameter;User parameter
ParameterColon;Parameter:
Pending;Pending
PermissionsColon;Permissions:
ContactPersonColon;Contact person:
Peru;Peru
PleaseWait;Please wait.
Portugal;Portugal
GitProjectsColon;Git projects:
PropertiesColon;Properties:
ProxyColon;Proxy:
PuertoRico;Puerto Rico
PortColon;Port:
Pull;Pull
Push;Push
Refresh;Refresh
RegionColon;Region:
Register;Register
RegisterProduct;Register Product
UnitedKingdom;United Kingdom
DominicanRepublic;Dominican Republic
Russia;Russia
SecretKeyColon;Secret Key:
MultipleSelection;Multiple selection
SimpleSelection;Simple selection
SelectAll;Select all
CronoServer;Crono server
LocalServerColon;Local server:
SierraLeone;Sierra Leone
_ReadOnly;Read only
Support;Support
SqlServer;SQL Server
SouthAfrica;South Africa
Sweden;Sweden
Switzerland;Switzerland
Substitutions;Substitutions
AccessTypeColon;Access type:
TokenColon;Token:
JobsColon;Jobs:
Turkey;Turkey
CurrentLocationColon;Current location:
Uruguay;Uruguay
UsernameColonNotLocalized;Username:
UserOrGroupColon;User or group:
UsersColon;Users:
DefaultValueColon;Default value:
Venezuela;Venezuela
ShowDifferences;Show differences
ShowDetailedError;Show detailed error
ShowReport;Show report
ShowExecutionLog;Show execution log
ExpectedVersion;Expected version
VersionColon;Version:
SupportWebColon;Support web:
AndUpperCase;Y
NewBusinessItem;New business item
ThereWasAnErrorDuringObjectVerification;There was an error during object verification.
NewFolder;New folder
NewItem;New item
Right;Right
Document;Document
EditReport;Edit Report
AwaitingElipsis;Awaiting...
Browse;Browse
EndDate;End date
StartDate;Start date
Filters;Filters
Parameters;Parameters
ForeignKeys;Foreign keys
Views;Views
TimeElapsedColon;Time elapsed:
AuthorColon;Author:
TitleColon;Title:
NewQuery;New query
Publish;Publish
AskEnsureWantPublishThisDocumentPublicationLocationColonParameterTheDocumentWillBeSavedBeforePublishing;Are you sure you want to publish this document?||Publication location:|{0}||The document will be saved before publishing.
CreatingMainWindow;Creating MainWindow
AskWantDeleteAllSelectedBusinessItems;Do you want to delete all selected business items?
ReportProperties;Report properties
TheCatalogPathCannotBeLeftBlank;The catalog path cannot be left blank
DefaultCredentials;Default credentials
TheUserIsNotDefined;The user is not defined
UpdatingElipsis;Updating...
CurrentlyItIsNotPossibleToModifyDefaultIconsOfConditionalFormatsThisConditionalFormatMustBeDeletedIntColumnParameterBetweenParenthesesInOrderToSaveThisDocument;Currently it is not possible to modify the default icons of conditional formats.||This conditional formatting must be deleted in the column '{0}' in order to save this document.
TheFileDoesNotExists;The file does not exists
ThisVersionIsTooOldConsultWithYourSystemAdministratorToInstallANewerVersionOfCrono;This version is too old. Consult with your system administrator to install a newer version of Crono.
FiltersOfThisSheet;Filters of this sheet
WeCannotSaveParameterBetweenQuotesBecauseTheFileIsReadOnlyInOrderToSaveChangesSaveReportWithNewNameInDifferentLocation;We cannot save '{0}' because the file is read only.||In order to save your changes, save the report with a new name in a different location.
FileUpperCase;FILE
OpenLocation;Open location
NewSite;New site
ShowLog;Show log
NewReport;New report
InterfaceLanguageColon;Interface language:
Application;Application
IfFindErrorsInAnyTranslationHelpUsByWritingUsToInfoCronoDotNet;If you find errors in any translation help us by writing us to info@crono.net
TestServer;Test server
ThereAreUnsavedChangesAskEnsureWantCloseAndLoseChanges;There are unsaved changes, are you sure you want to close and lose the changes made?
Rename;Rename
CopyResult;Copy result
ShowSql;Show SQL
Result;Result
CopySql;Copy SQL
UsernameColon;Username:
VariableNameColon;Variable name:
SmtpServerColon;SMTP server:
EnableSsl;Enable SSL.
SenderEmailBetweenParenthesesColon;Sender (email):
SenderNameBetweenParenthesesColon;Sender (name):
VariableValueColon;Variable value:
TestingSmtpServer;Testing SMTP server
AskSaveChangesOfParameterBetweenQuotes;Save changes of '{0}'?
CopyAllTablesNames;Copy all tables names
ParameterRows;{0:N0} rows
ParameterColumns;{0:N0} columns
CopyTablesNames;Copy tables names
CopyFieldsNames;Copy fields names
AnUnexpectedErrorOccurredDuringConnectionStringCreation;An unexpected error occurred during the connection string creation.
Display;Show
YouMustSpecifyAValidNameForThisVariable;You must specify a valid name for this variable.
AVariableWithThisNameAlreadyExists;A variable with this name already exists.
SaveAll;Save all
ParameterReadonlyBetweenSquareBrackets;{0} [read only]
ExecuteAll;Execute All
Authorizations;Authorizations
CollapseAll;Collapse all
CollapseChildren;Collapse children
ManageAuthorizations;Manage authorizations
ManageFolderAuthorizations;Manage folder authorizations
ConvertToWebFolder;Convert into web folder
CronoServerParameterHasBeenInstalledSuccessfully;Crono Server {0} has been installed successfully
YouMustSpecifyTheServerName;You must specify the server name
ErrorInstallingCronoServer;Error installing Crono Server
InstallingCronoServer;Installing Crono Server
TheSpecifiedServerUrlIsNotValid;The specified server url is not valid
